city, marital-status, age, gender, year, population
GC, Married, 0-4, F, 2006, 0
GC, Married, 0-4, M, 2006, 0
GC, Married, 10-14, F, 2006, 0
GC, Married, 10-14, M, 2006, 0
GC, Married, 15-19, F, 2006, 18
GC, Married, 15-19, M, 2006, 11
GC, Married, 20-24, F, 2006, 195
GC, Married, 20-24, M, 2006, 111
GC, Married, 25-29, F, 2006, 703
GC, Married, 25-29, M, 2006, 533
GC, Married, 30-34, F, 2006, 1127
GC, Married, 30-34, M, 2006, 1043
GC, Married, 35-39, F, 2006, 1108
GC, Married, 35-39, M, 2006, 1145
GC, Married, 40-44, F, 2006, 1156
GC, Married, 40-44, M, 2006, 1189
GC, Married, 45-49, F, 2006, 1166
GC, Married, 45-49, M, 2006, 1197
GC, Married, 5-9, F, 2006, 0
GC, Married, 5-9, M, 2006, 0
GC, Married, 50-54, F, 2006, 1120
GC, Married, 50-54, M, 2006, 1132
GC, Married, 55-59, F, 2006, 1005
GC, Married, 55-59, M, 2006, 1034
GC, Married, 60-64, F, 2006, 834
GC, Married, 60-64, M, 2006, 851
GC, Married, 65-69, F, 2006, 633
GC, Married, 65-69, M, 2006, 675
GC, Married, 70-74, F, 2006, 388
GC, Married, 70-74, M, 2006, 499
GC, Married, 75-79, F, 2006, 241
GC, Married, 75-79, M, 2006, 327
GC, Married, 80-84, F, 2006, 102
GC, Married, 80-84, M, 2006, 162
GC, Married, 85-and-more, F, 2006, 36
GC, Married, 85-and-more, M, 2006, 89
GC, Separated, 0-4, F, 2006, 0
GC, Separated, 0-4, M, 2006, 0
GC, Separated, 10-14, F, 2006, 0
GC, Separated, 10-14, M, 2006, 0
GC, Separated, 15-19, F, 2006, 2
GC, Separated, 15-19, M, 2006, 3
GC, Separated, 20-24, F, 2006, 16
GC, Separated, 20-24, M, 2006, 3
GC, Separated, 25-29, F, 2006, 51
GC, Separated, 25-29, M, 2006, 17
GC, Separated, 30-34, F, 2006, 82
GC, Separated, 30-34, M, 2006, 47
GC, Separated, 35-39, F, 2006, 114
GC, Separated, 35-39, M, 2006, 59
GC, Separated, 40-44, F, 2006, 167
GC, Separated, 40-44, M, 2006, 97
GC, Separated, 45-49, F, 2006, 186
GC, Separated, 45-49, M, 2006, 105
GC, Separated, 5-9, F, 2006, 0
GC, Separated, 5-9, M, 2006, 0
GC, Separated, 50-54, F, 2006, 155
GC, Separated, 50-54, M, 2006, 116
GC, Separated, 55-59, F, 2006, 117
GC, Separated, 55-59, M, 2006, 73
GC, Separated, 60-64, F, 2006, 70
GC, Separated, 60-64, M, 2006, 57
GC, Separated, 65-69, F, 2006, 39
GC, Separated, 65-69, M, 2006, 33
GC, Separated, 70-74, F, 2006, 27
GC, Separated, 70-74, M, 2006, 23
GC, Separated, 75-79, F, 2006, 10
GC, Separated, 75-79, M, 2006, 7
GC, Separated, 80-84, F, 2006, 2
GC, Separated, 80-84, M, 2006, 2
GC, Separated, 85-and-more, F, 2006, 2
GC, Separated, 85-and-more, M, 2006, 2
GC, Single, 0-4, F, 2006, 2130
GC, Single, 0-4, M, 2006, 2148
GC, Single, 10-14, F, 2006, 1635
GC, Single, 10-14, M, 2006, 1695
GC, Single, 15-19, F, 2006, 2961
GC, Single, 15-19, M, 2006, 2608
GC, Single, 20-24, F, 2006, 5863
GC, Single, 20-24, M, 2006, 5211
GC, Single, 25-29, F, 2006, 4115
GC, Single, 25-29, M, 2006, 4385
GC, Single, 30-34, F, 2006, 2177
GC, Single, 30-34, M, 2006, 2238
GC, Single, 35-39, F, 2006, 1063
GC, Single, 35-39, M, 2006, 1044
GC, Single, 40-44, F, 2006, 634
GC, Single, 40-44, M, 2006, 546
GC, Single, 45-49, F, 2006, 467
GC, Single, 45-49, M, 2006, 379
GC, Single, 5-9, F, 2006, 1725
GC, Single, 5-9, M, 2006, 1817
GC, Single, 50-54, F, 2006, 347
GC, Single, 50-54, M, 2006, 291
GC, Single, 55-59, F, 2006, 264
GC, Single, 55-59, M, 2006, 230
GC, Single, 60-64, F, 2006, 178
GC, Single, 60-64, M, 2006, 177
GC, Single, 65-69, F, 2006, 153
GC, Single, 65-69, M, 2006, 149
GC, Single, 70-74, F, 2006, 155
GC, Single, 70-74, M, 2006, 113
GC, Single, 75-79, F, 2006, 134
GC, Single, 75-79, M, 2006, 92
GC, Single, 80-84, F, 2006, 119
GC, Single, 80-84, M, 2006, 55
GC, Single, 85-and-more, F, 2006, 84
GC, Single, 85-and-more, M, 2006, 38
GC, Widowed, 0-4, F, 2006, 0
GC, Widowed, 0-4, M, 2006, 0
GC, Widowed, 10-14, F, 2006, 0
GC, Widowed, 10-14, M, 2006, 0
GC, Widowed, 15-19, F, 2006, 1
GC, Widowed, 15-19, M, 2006, 2
GC, Widowed, 20-24, F, 2006, 5
GC, Widowed, 20-24, M, 2006, 9
GC, Widowed, 25-29, F, 2006, 12
GC, Widowed, 25-29, M, 2006, 11
GC, Widowed, 30-34, F, 2006, 11
GC, Widowed, 30-34, M, 2006, 10
GC, Widowed, 35-39, F, 2006, 22
GC, Widowed, 35-39, M, 2006, 12
GC, Widowed, 40-44, F, 2006, 24
GC, Widowed, 40-44, M, 2006, 10
GC, Widowed, 45-49, F, 2006, 50
GC, Widowed, 45-49, M, 2006, 23
GC, Widowed, 5-9, F, 2006, 0
GC, Widowed, 5-9, M, 2006, 0
GC, Widowed, 50-54, F, 2006, 72
GC, Widowed, 50-54, M, 2006, 26
GC, Widowed, 55-59, F, 2006, 116
GC, Widowed, 55-59, M, 2006, 38
GC, Widowed, 60-64, F, 2006, 166
GC, Widowed, 60-64, M, 2006, 53
GC, Widowed, 65-69, F, 2006, 184
GC, Widowed, 65-69, M, 2006, 60
GC, Widowed, 70-74, F, 2006, 270
GC, Widowed, 70-74, M, 2006, 71
GC, Widowed, 75-79, F, 2006, 307
GC, Widowed, 75-79, M, 2006, 58
GC, Widowed, 80-84, F, 2006, 279
GC, Widowed, 80-84, M, 2006, 69
GC, Widowed, 85-and-more, F, 2006, 310
